case_id,sample_id,wsi_src,wsi_file_id,wsi_file_name,wsi_dl_url,rna_file_id,rna_file_name,paired
TCGA-50-5939,TCGA-50-5939-01Z-00-DX1,gdc_open,79c598e0-7274-40b3-b1f6-371e830d7187,TCGA-50-5939-01A-01-TS1.a75a4c4e-3fd0-454e-96a7-9657c5139a81.svs,,8148f34c-1ddd-454a-8761-8b76e97e8534,4a39a182-e583-4ff0-a8f0-f73b0f5c4f20.rna_seq.augmented_star_gene_counts.tsv,True
TCGA-50-7109,TCGA-50-7109-01Z-00-DX1,gdc_open,afe214c3-8aa6-4d57-85e7-e63379ee1f96,TCGA-50-7109-01A-01-TS1.320c877a-f0ad-4d94-94c5-272bd52798f8.svs,,e173308d-ac80-4c15-9b0e-e5cb09321a56,b99ff949-1922-4948-8d02-2ef2aa3dfb3b.rna_seq.augmented_star_gene_counts.tsv,True
TCGA-38-4632,TCGA-38-4632-01Z-00-DX1,gdc_open,6a1c9253-c4c4-4d4c-b95d-c20d862defc2,TCGA-38-4632-11A-01-BS1.3f8d061d-9f93-4af1-96ac-beda6c048129.svs,,54a00dd0-503f-471f-88e4-8d6fcdcf8483,1b22e14e-321b-4609-9aa2-9df6285ca948.rna_seq.augmented_star_gene_counts.tsv,True
TCGA-L9-A8F4,TCGA-L9-A8F4-01Z-00-DX1,gdc_open,f215470e-658f-4e4a-b316-7c2051723648,TCGA-L9-A8F4-01Z-00-DX1.E2BBB8DE-94E2-4781-9B55-8A4CFBF8A69D.svs,,8be16a1a-383f-4365-b1e5-139b1625e3ce,e1b67311-dee7-4296-ac38-1ad47a80c257.rna_seq.augmented_star_gene_counts.tsv,True
TCGA-L9-A50W,TCGA-L9-A50W-01Z-00-DX1,gdc_open,06cabd4b-c045-413a-8674-36992d62ff2e,TCGA-L9-A50W-01Z-00-DX1.21FAAB58-58EF-4A6A-8F0A-16D9AB9B1056.svs,,0765d9e8-0fec-46bc-832a-89945435d5b1,78bf9571-4145-4c0d-a61a-58a878351097.rna_seq.augmented_star_gene_counts.tsv,True
TCGA-55-7573,TCGA-55-7573-01Z-00-DX1,gdc_open,67560f24-1cc3-4be7-9fec-2289886c1ad2,TCGA-55-7573-01Z-00-DX1.43a4bbd2-6a3b-4910-9356-2d750a736817.svs,,4f00f94a-f0db-4840-a230-3bc9866bc184,ff298d6f-071c-417a-acbe-a9ff38494f87.rna_seq.augmented_star_gene_counts.tsv,True
TCGA-99-8033,TCGA-99-8033-01Z-00-DX1,gdc_open,ffee8ec1-a211-443a-bfdd-341ba481f0d9,TCGA-99-8033-01A-01-TS1.c9f52107-d2d5-4e7d-b30a-3d1d6cf5a5f6.svs,,22cae278-eb88-4685-9ff7-667e53b50a34,e0dabde8-1dd8-4aa6-9f23-51dc22fc2cae.rna_seq.augmented_star_gene_counts.tsv,True
TCGA-99-8025,TCGA-99-8025-01Z-00-DX1,gdc_open,34fcb482-2783-4cd2-a38b-eee88e40cc6e,TCGA-99-8025-01A-01-TS1.c94ae7e9-42a9-4a34-a676-7397b5b48c82.svs,,515aa64c-316b-497e-b877-7ab0c89a58bd,36f81494-52c4-49db-9dba-26a0c2de2e8e.rna_seq.augmented_star_gene_counts.tsv,True
TCGA-55-7903,TCGA-55-7903-01Z-00-DX1,gdc_open,7f48f248-ec94-4d6e-868d-534d71bf6112,TCGA-55-7903-01Z-00-DX1.40fc5dcb-b5bb-46b4-90bd-2eeb3ea880f5.svs,,ae037177-0902-4c94-8e3c-632e240d3945,b71b334c-768e-46f6-bc7e-c95a11f44f03.rna_seq.augmented_star_gene_counts.tsv,True
TCGA-86-8669,TCGA-86-8669-01Z-00-DX1,gdc_open,21c1d40c-ee8e-4c9a-8d30-dab0faeb3fda,TCGA-86-8669-01Z-00-DX1.845b8b4e-6445-4da1-8275-42b765c024cc.svs,,508c6166-6095-4133-a42a-79d75b0c0e31,eda17fff-892d-440a-af83-b353ea60c478.rna_seq.augmented_star_gene_counts.tsv,True
TCGA-97-A4LX,TCGA-97-A4LX-01Z-00-DX1,gdc_open,e23d6e16-8bd1-4fbf-99e7-ded7226ed7e4,TCGA-97-A4LX-01A-01-TS1.61D371DC-CDB4-4DC7-AA8D-5071D2251B68.svs,,0f37f5ba-3582-4c61-8c70-bf9b0ede6e71,2276a330-e86b-46e1-be45-ae41d217ef66.rna_seq.augmented_star_gene_counts.tsv,True
