# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			5394003	5394003	5394003			
N_multimapping			9033686	9033686	9033686			
N_noFeature			2133931	32487959	32339784			
N_ambiguous			6818361	1896861	1865665			
ENSG00000000003.15	TSPAN6	protein_coding	7254	3586	3668	77.0800	30.9888	31.9181
ENSG00000000005.6	TNMD	protein_coding	2	2	0	0.0653	0.0263	0.0270
ENSG00000000419.13	DPM1	protein_coding	2428	1259	1169	96.9568	38.9800	40.1490
ENSG00000000457.14	SCYL3	protein_coding	716	616	644	5.0139	2.0157	2.0762
ENSG00000000460.17	C1orf112	protein_coding	521	550	552	4.2063	1.6911	1.7418
ENSG00000000938.13	FGR	protein_coding	735	354	382	10.4749	4.2113	4.3376
ENSG00000000971.16	CFH	protein_coding	15136	7568	7568	91.4208	36.7543	37.8566
ENSG00000001036.14	FUCA2	protein_coding	3989	3189	3162	68.1309	27.3910	28.2124
ENSG00000001084.13	GCLC	protein_coding	6293	3704	3641	35.1956	14.1498	14.5742
ENSG00000001167.14	NFYA	protein_coding	1923	1016	1067	24.3208	9.7778	10.0710
ENSG00000001460.18	STPG1	protein_coding	1542	806	798	8.7325	3.5108	3.6161
ENSG00000001461.17	NIPAL3	protein_coding	2443	1277	1229	12.5319	5.0383	5.1894
ENSG00000001497.18	LAS1L	protein_coding	2641	1315	1331	10.1388	4.0762	4.1984
ENSG00000001561.7	ENPP4	protein_coding	1484	771	713	15.4021	6.1922	6.3779
ENSG00000001617.12	SEMA3F	protein_coding	4827	2436	2403	48.2089	19.3816	19.9629
ENSG00000001626.16	CFTR	protein_coding	762	376	389	3.6942	1.4852	1.5297
ENSG00000001629.10	ANKIB1	protein_coding	3195	1587	1616	20.8412	8.3789	8.6302
ENSG00000001630.17	CYP51A1	protein_coding	64	37	28	0.8741	0.3514	0.3620
ENSG00000001631.16	KRIT1	protein_coding	298	164	142	2.3152	0.9308	0.9587
ENSG00000002016.18	RAD52	protein_coding	223	109	114	2.3869	0.9596	0.9884
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	15	7	9	0.1146	0.0461	0.0475
ENSG00000002330.14	BAD	protein_coding	476	1142	1193	13.4325	5.4003	5.5623
ENSG00000002549.12	LAP3	protein_coding	6147	3033	3114	78.2770	31.4701	32.4138
ENSG00000002586.20	CD99	protein_coding	6899	3115	3784	68.4488	27.5188	28.3440
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	2086	1105	992	13.5229	5.4367	5.5997
ENSG00000002726.21	AOC1	protein_coding	84	39	45	1.0694	0.4299	0.4428
ENSG00000002745.13	WNT16	protein_coding	1812	898	914	26.7575	10.7574	11.0800
ENSG00000002746.15	HECW1	protein_coding	38	32	21	0.1314	0.0528	0.0544
ENSG00000002822.15	MAD1L1	protein_coding	16	10	6	0.1067	0.0429	0.0442
ENSG00000002834.18	LASP1	protein_coding	14215	9022	8860	97.0326	39.0104	40.1804
ENSG00000002919.15	SNX11	protein_coding	1657	826	833	19.3239	7.7689	8.0018
ENSG00000002933.9	TMEM176A	protein_coding	2197	1067	1138	30.4553	12.2441	12.6113
ENSG00000003056.8	M6PR	protein_coding	4687	3130	3258	63.0148	25.3341	26.0939
ENSG00000003096.14	KLHL13	protein_coding	571	293	278	3.9412	1.5845	1.6320
ENSG00000003137.8	CYP26B1	protein_coding	830	429	401	7.9771	3.2071	3.3032
ENSG00000003147.19	ICA1	protein_coding	459	279	240	4.5307	1.8215	1.8761
ENSG00000003249.15	DBNDD1	protein_coding	602	280	327	6.5029	2.6144	2.6928
ENSG00000003393.15	ALS2	protein_coding	2147	1094	1055	9.9141	3.9858	4.1053
ENSG00000003400.15	CASP10	protein_coding	3392	1692	1700	21.5658	8.6702	8.9302
ENSG00000003402.20	CFLAR	protein_coding	7811	4634	4522	16.7481	6.7333	6.9353
ENSG00000003436.16	TFPI	protein_coding	3627	1944	1978	14.9238	5.9999	6.1798
ENSG00000003509.16	NDUFAF7	protein_coding	567	449	472	7.4853	3.0093	3.0996
ENSG00000003756.17	RBM5	protein_coding	1795	1353	1296	8.3535	3.3584	3.4591
ENSG00000003987.14	MTMR7	protein_coding	41	133	114	0.2852	0.1147	0.1181
ENSG00000003989.18	SLC7A2	protein_coding	1440	741	699	8.7801	3.5299	3.6357
ENSG00000004059.11	ARF5	protein_coding	4823	2439	2462	127.3771	51.2100	52.7458
ENSG00000004139.14	SARM1	protein_coding	150	636	582	0.6510	0.2617	0.2696
ENSG00000004142.12	POLDIP2	protein_coding	6831	3986	3989	123.3133	49.5762	51.0630
ENSG00000004399.13	PLXND1	protein_coding	4795	2255	2542	24.1827	9.7223	10.0138
ENSG00000004455.17	AK2	protein_coding	6141	3070	3110	30.7521	12.3634	12.7342
ENSG00000004468.13	CD38	protein_coding	1718	869	849	12.0761	4.8550	5.0006
ENSG00000004478.8	FKBP4	protein_coding	5339	3428	3562	49.8419	20.0382	20.6391
ENSG00000004487.17	KDM1A	protein_coding	6066	3034	3035	53.7453	21.6075	22.2555
ENSG00000004534.15	RBM6	protein_coding	2476	1260	1217	16.3502	6.5734	6.7705
ENSG00000004660.15	CAMKK1	protein_coding	376	202	174	2.4382	0.9802	1.0096
ENSG00000004700.16	RECQL	protein_coding	2479	2751	2742	31.6182	12.7116	13.0928
ENSG00000004766.17	VPS50	protein_coding	1112	550	562	5.6070	2.2542	2.3218
ENSG00000004776.13	HSPB6	protein_coding	18	51	79	0.5032	0.2023	0.2084
ENSG00000004777.18	ARHGAP33	protein_coding	59	29	37	0.5406	0.2174	0.2239
ENSG00000004779.10	NDUFAB1	protein_coding	2289	1103	1186	71.2708	28.6533	29.5126
ENSG00000004799.8	PDK4	protein_coding	2853	1420	1433	30.2622	12.1664	12.5313
ENSG00000004809.14	SLC22A16	protein_coding	25	17	8	0.3084	0.1240	0.1277
ENSG00000004838.14	ZMYND10	protein_coding	3441	2034	2131	57.4082	23.0801	23.7723
ENSG00000004846.16	ABCB5	protein_coding	4	0	4	0.0208	0.0084	0.0086
ENSG00000004848.8	ARX	protein_coding	108	58	50	1.6716	0.6721	0.6922
ENSG00000004864.14	SLC25A13	protein_coding	1679	814	865	21.8129	8.7695	9.0325
ENSG00000004866.22	ST7	protein_coding	1266	701	689	9.3503	3.7591	3.8719
ENSG00000004897.12	CDC27	protein_coding	4858	2494	2560	34.3127	13.7949	14.2086
ENSG00000004939.15	SLC4A1	protein_coding	5	1	4	0.0470	0.0189	0.0195
ENSG00000004948.16	CALCR	protein_coding	6	3	4	0.0685	0.0275	0.0284
ENSG00000004961.15	HCCS	protein_coding	1892	952	940	38.9212	15.6476	16.1169
ENSG00000004975.12	DVL2	protein_coding	1940	931	1012	17.5730	7.0649	7.2768
ENSG00000005001.10	PRSS22	protein_coding	2590	1326	1297	52.3637	21.0520	21.6834
ENSG00000005007.13	UPF1	protein_coding	7425	3752	3674	41.7446	16.7828	17.2861
ENSG00000005020.13	SKAP2	protein_coding	2365	1154	1211	21.2629	8.5484	8.8048
ENSG00000005022.6	SLC25A5	protein_coding	16143	9579	9415	500.3694	201.1658	207.1987
ENSG00000005059.16	MCUB	protein_coding	552	302	271	7.4840	3.0088	3.0991
ENSG00000005073.6	HOXA11	protein_coding	307	170	174	5.5440	2.2289	2.2957
ENSG00000005075.15	POLR2J	protein_coding	1685	847	870	59.9373	24.0969	24.8195
ENSG00000005100.13	DHX33	protein_coding	2268	1159	1112	18.8832	7.5917	7.8194
ENSG00000005102.14	MEOX1	protein_coding	111	51	61	2.0008	0.8044	0.8285
ENSG00000005108.16	THSD7A	protein_coding	185	104	98	0.8165	0.3283	0.3381
ENSG00000005156.12	LIG3	protein_coding	1632	1239	1258	6.0972	2.4513	2.5248
ENSG00000005175.10	RPAP3	protein_coding	2020	986	1035	18.1985	7.3164	7.5358
ENSG00000005187.12	ACSM3	protein_coding	59	222	231	0.3787	0.1522	0.1568
ENSG00000005189.20	REXO5	protein_coding	227	134	120	2.6614	1.0700	1.1021
ENSG00000005194.15	CIAPIN1	protein_coding	3635	1821	1815	51.7892	20.8210	21.4455
ENSG00000005206.17	SPPL2B	protein_coding	1292	644	653	8.3937	3.3746	3.4758
ENSG00000005238.20	FAM214B	protein_coding	1347	713	635	10.1841	4.0944	4.2172
ENSG00000005243.10	COPZ2	protein_coding	878	464	416	22.6788	9.1177	9.3911
ENSG00000005249.13	PRKAR2B	protein_coding	665	354	311	7.5205	3.0235	3.1142
ENSG00000005302.19	MSL3	protein_coding	2701	1378	1323	13.3114	5.3516	5.5121
ENSG00000005339.15	CREBBP	protein_coding	5025	2497	2530	15.6470	6.2906	6.4793
ENSG00000005379.17	TSPOAP1	protein_coding	647	341	309	2.7381	1.1008	1.1338
ENSG00000005381.8	MPO	protein_coding	11	6	6	0.1503	0.0604	0.0622
ENSG00000005421.9	PON1	protein_coding	9	2	10	0.1633	0.0656	0.0676
ENSG00000005436.14	GCFC2	protein_coding	888	723	743	7.8361	3.1504	3.2448
ENSG00000005448.17	WDR54	protein_coding	1932	959	978	32.6509	13.1268	13.5204
ENSG00000005469.12	CROT	protein_coding	3572	1799	1773	34.4677	13.8572	14.2728
ENSG00000005471.19	ABCB4	protein_coding	61	33	28	0.3805	0.1530	0.1575
ENSG00000005483.21	KMT2E	protein_coding	4688	2483	2577	22.7115	9.1308	9.4046
ENSG00000005486.17	RHBDD2	protein_coding	5195	2473	2723	104.7670	42.1200	43.3831
ENSG00000005513.10	SOX8	protein_coding	23	10	13	0.2480	0.0997	0.1027
ENSG00000005700.15	IBTK	protein_coding	3149	1573	1576	17.4078	6.9985	7.2084
ENSG00000005801.18	ZNF195	protein_coding	1121	596	525	4.6137	1.8549	1.9105
ENSG00000005810.18	MYCBP2	protein_coding	2849	1786	1821	8.5894	3.4532	3.5568
ENSG00000005812.11	FBXL3	protein_coding	2408	2200	2256	16.4023	6.5943	6.7921
ENSG00000005844.19	ITGAL	protein_coding	855	488	497	4.1778	1.6796	1.7300
ENSG00000005882.12	PDK2	protein_coding	793	738	743	6.9862	2.8087	2.8929
ENSG00000005884.18	ITGA3	protein_coding	24900	12275	12665	122.4395	49.2249	50.7012
ENSG00000005889.16	ZFX	protein_coding	1822	930	893	9.7176	3.9068	4.0240
ENSG00000005893.16	LAMP2	protein_coding	13706	6820	6886	70.2482	28.2422	29.0892
ENSG00000005961.19	ITGA2B	protein_coding	32	14	18	0.2708	0.1089	0.1121
ENSG00000005981.13	ASB4	protein_coding	12	4	8	0.1256	0.0505	0.0520
ENSG00000006007.12	GDE1	protein_coding	5471	3405	3463	60.0674	24.1492	24.8734
ENSG00000006015.18	REX1BD	protein_coding	737	362	377	10.5377	4.2365	4.3636
ENSG00000006016.11	CRLF1	protein_coding	727	482	466	11.8101	4.7481	4.8905
ENSG00000006025.12	OSBPL7	protein_coding	304	142	162	2.2295	0.8963	0.9232
ENSG00000006042.12	TMEM98	protein_coding	4650	2349	2301	43.2089	17.3715	17.8925
ENSG00000006047.13	YBX2	protein_coding	15	5	12	0.1561	0.0628	0.0646
ENSG00000006059.4	KRT33A	protein_coding	40	19	21	1.4796	0.5949	0.6127
ENSG00000006062.17	MAP3K14	protein_coding	667	474	485	5.6720	2.2803	2.3487
ENSG00000006071.15	ABCC8	protein_coding	6	3	5	0.0230	0.0092	0.0095
ENSG00000006116.4	CACNG3	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000006118.15	TMEM132A	protein_coding	6466	3441	3369	42.8449	17.2251	17.7417
ENSG00000006125.18	AP2B1	protein_coding	17956	8929	9073	114.0112	45.8364	47.2111
ENSG00000006128.12	TAC1	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000006194.10	ZNF263	protein_coding	1238	801	733	9.3191	3.7466	3.8590
ENSG00000006210.7	CX3CL1	protein_coding	9543	4725	4820	77.1748	31.0269	31.9574
ENSG00000006282.21	SPATA20	protein_coding	1847	944	907	16.6804	6.7061	6.9072
ENSG00000006283.18	CACNA1G	protein_coding	12	17	6	0.0575	0.0231	0.0238
ENSG00000006327.14	TNFRSF12A	protein_coding	3518	1700	1820	94.1497	37.8514	38.9866
ENSG00000006377.11	DLX6	protein_coding	19	14	7	0.2658	0.1069	0.1101
ENSG00000006432.15	MAP3K9	protein_coding	2641	1343	1301	10.2772	4.1318	4.2557
ENSG00000006451.8	RALA	protein_coding	3737	1961	1776	50.3267	20.2331	20.8398
ENSG00000006453.14	BAIAP2L1	protein_coding	3656	2619	2640	36.5516	14.6950	15.1357
ENSG00000006459.11	KDM7A	protein_coding	2083	1025	1060	10.7057	4.3041	4.4331
ENSG00000006468.14	ETV1	protein_coding	905	463	442	4.5367	1.8239	1.8786
ENSG00000006530.18	AGK	protein_coding	1262	717	769	5.6864	2.2861	2.3547
ENSG00000006534.16	ALDH3B1	protein_coding	3401	1795	1614	24.7396	9.9462	10.2444
ENSG00000006555.11	TTC22	protein_coding	1128	577	551	8.8968	3.5768	3.6841
ENSG00000006576.16	PHTF2	protein_coding	1835	918	917	10.2296	4.1126	4.2360
ENSG00000006606.9	CCL26	protein_coding	71	36	35	4.8679	1.9571	2.0157
ENSG00000006607.14	FARP2	protein_coding	2267	1255	1255	7.6033	3.0568	3.1485
ENSG00000006611.17	USH1C	protein_coding	228	104	127	2.2409	0.9009	0.9279
ENSG00000006625.18	GGCT	protein_coding	1337	668	669	40.4278	16.2534	16.7408
ENSG00000006634.8	DBF4	protein_coding	904	428	501	9.4824	3.8123	3.9266
ENSG00000006638.13	TBXA2R	protein_coding	97	50	48	1.6538	0.6649	0.6848
ENSG00000006652.15	IFRD1	protein_coding	328	158	170	2.0007	0.8043	0.8285
ENSG00000006659.13	LGALS14	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000006695.12	COX10	protein_coding	1114	556	558	7.9475	3.1952	3.2910
ENSG00000006704.11	GTF2IRD1	protein_coding	1081	536	546	8.0171	3.2231	3.3198
ENSG00000006712.15	PAF1	protein_coding	4399	2328	2227	74.3954	29.9095	30.8065
ENSG00000006715.16	VPS41	protein_coding	2964	1507	1457	18.4290	7.4091	7.6313
ENSG00000006740.17	ARHGAP44	protein_coding	749	492	462	3.8727	1.5569	1.6036
ENSG00000006744.19	ELAC2	protein_coding	4200	2145	2074	28.9111	11.6232	11.9718
ENSG00000006747.15	SCIN	protein_coding	356	199	181	1.4759	0.5934	0.6112
ENSG00000006756.16	ARSD	protein_coding	2537	1785	1798	17.4040	6.9970	7.2069
ENSG00000006757.12	PNPLA4	protein_coding	1181	611	571	16.6880	6.7092	6.9104
ENSG00000006788.14	MYH13	protein_coding	3	2	3	0.0236	0.0095	0.0098
ENSG00000006831.10	ADIPOR2	protein_coding	3959	1993	1967	32.7250	13.1566	13.5511
ENSG00000006837.12	CDKL3	protein_coding	16	11	5	0.2449	0.0985	0.1014
ENSG00000007001.13	UPP2	protein_coding	2	1	1	0.0326	0.0131	0.0135
ENSG00000007038.11	PRSS21	protein_coding	1064	525	539	26.0720	10.4818	10.7962
ENSG00000007047.15	MARK4	protein_coding	2145	1077	1069	15.5328	6.2447	6.4320
ENSG00000007062.12	PROM1	protein_coding	5719	2871	2848	36.9652	14.8613	15.3070
ENSG00000007080.11	CCDC124	protein_coding	3657	1832	1827	106.1188	42.6634	43.9429
ENSG00000007129.18	CEACAM21	protein_coding	110	62	48	2.6818	1.0782	1.1105
ENSG00000007168.14	PAFAH1B1	protein_coding	7433	4564	4531	26.0157	10.4592	10.7729
ENSG00000007171.18	NOS2	protein_coding	135	67	68	1.4792	0.5947	0.6125
ENSG00000007174.18	DNAH9	protein_coding	4512	2398	2411	12.8371	5.1610	5.3157
ENSG00000007202.15	KIAA0100	protein_coding	7653	6071	6116	39.9552	16.0633	16.5451
ENSG00000007216.15	SLC13A2	protein_coding	9	4	7	0.1345	0.0541	0.0557
ENSG00000007237.19	GAS7	protein_coding	2457	1218	1239	11.6583	4.6870	4.8276
ENSG00000007255.10	TRAPPC6A	protein_coding	747	382	365	38.5901	15.5145	15.9798
ENSG00000007264.15	MATK	protein_coding	106	43	63	1.2347	0.4964	0.5113
ENSG00000007306.15	CEACAM7	protein_coding	5109	2529	2587	92.8187	37.3163	38.4354
ENSG00000007312.13	CD79B	protein_coding	287	151	136	6.7086	2.6971	2.7780
ENSG00000007314.12	SCN4A	protein_coding	4	1	3	0.0234	0.0094	0.0097
ENSG00000007341.19	ST7L	protein_coding	628	701	728	3.7332	1.5009	1.5459
ENSG00000007350.17	TKTL1	protein_coding	5	2	4	0.0683	0.0275	0.0283
ENSG00000007372.24	PAX6	protein_coding	10	40	43	0.0234	0.0094	0.0097
ENSG00000007376.8	RPUSD1	protein_coding	1482	727	784	25.7966	10.3711	10.6821
ENSG00000007384.15	RHBDF1	protein_coding	949	486	463	9.3082	3.7422	3.8545
ENSG00000007392.17	LUC7L	protein_coding	1072	566	506	8.3661	3.3635	3.4643
ENSG00000007402.12	CACNA2D2	protein_coding	85	75	53	0.6295	0.2531	0.2607
ENSG00000007516.14	BAIAP3	protein_coding	2145	1532	1511	16.9237	6.8039	7.0079
ENSG00000007520.4	TSR3	protein_coding	1581	1213	1264	62.9772	25.3190	26.0783
ENSG00000007541.17	PIGQ	protein_coding	1256	594	663	7.7059	3.0980	3.1910
ENSG00000007545.16	CRAMP1	protein_coding	761	418	362	4.2670	1.7155	1.7669
ENSG00000007866.22	TEAD3	protein_coding	3044	1508	1536	48.1198	19.3458	19.9260
ENSG00000007908.16	SELE	protein_coding	242	117	125	2.5434	1.0225	1.0532
ENSG00000007923.16	DNAJC11	protein_coding	1909	1770	1805	18.1018	7.2776	7.4958
ENSG00000007933.13	FMO3	protein_coding	1734	874	860	24.3027	9.7705	10.0635
ENSG00000007944.15	MYLIP	protein_coding	1136	589	548	17.8235	7.1657	7.3806
ENSG00000007952.18	NOX1	protein_coding	151	81	70	2.8620	1.1506	1.1851
ENSG00000007968.7	E2F2	protein_coding	775	395	382	6.8389	2.7495	2.8319
ENSG00000008018.9	PSMB1	protein_coding	11325	5616	5709	245.9902	98.8965	101.8624
ENSG00000008056.14	SYN1	protein_coding	165	100	110	2.1304	0.8565	0.8822
ENSG00000008083.14	JARID2	protein_coding	3476	1741	1736	26.8320	10.7874	11.1109
ENSG00000008086.13	CDKL5	protein_coding	1205	620	590	3.0478	1.2253	1.2621
ENSG00000008118.10	CAMK1G	protein_coding	64	34	30	0.9269	0.3726	0.3838
ENSG00000008128.23	CDK11A	protein_coding	28	10	18	0.2654	0.1067	0.1099
ENSG00000008130.15	NADK	protein_coding	2545	1198	1348	22.0226	8.8539	9.1194
ENSG00000008196.13	TFAP2B	protein_coding	7	4	3	0.0548	0.0220	0.0227
ENSG00000008197.5	TFAP2D	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000008226.20	DLEC1	protein_coding	1187	1027	1049	6.8616	2.7586	2.8413
ENSG00000008256.16	CYTH3	protein_coding	1900	962	939	15.7675	6.3391	6.5292
ENSG00000008277.14	ADAM22	protein_coding	224	115	109	0.8850	0.3558	0.3665
ENSG00000008282.9	SYPL1	protein_coding	15063	7642	7424	260.8766	104.8814	108.0268
ENSG00000008283.16	CYB561	protein_coding	6864	3484	3382	62.4692	25.1148	25.8680
ENSG00000008294.21	SPAG9	protein_coding	5865	2930	2937	23.6241	9.4977	9.7826
ENSG00000008300.17	CELSR3	protein_coding	479	227	253	1.6670	0.6702	0.6903
ENSG00000008311.15	AASS	protein_coding	1273	650	623	9.2073	3.7016	3.8126
ENSG00000008323.15	PLEKHG6	protein_coding	227	114	114	2.5683	1.0326	1.0635
ENSG00000008324.12	SS18L2	protein_coding	666	355	363	10.2952	4.1390	4.2632
ENSG00000008382.16	MPND	protein_coding	513	516	551	12.0674	4.8515	4.9970
ENSG00000008394.13	MGST1	protein_coding	13078	6357	6725	84.7124	34.0573	35.0787
ENSG00000008405.12	CRY1	protein_coding	1284	612	700	12.9417	5.2030	5.3591
ENSG00000008438.5	PGLYRP1	protein_coding	4	1	3	0.2723	0.1095	0.1128
ENSG00000008441.18	NFIX	protein_coding	3572	1806	1771	26.7547	10.7563	11.0789
ENSG00000008513.16	ST3GAL1	protein_coding	7964	3921	4043	43.3637	17.4337	17.9566
ENSG00000008516.17	MMP25	protein_coding	150	101	101	1.7027	0.6846	0.7051
ENSG00000008517.18	IL32	protein_coding	5911	3000	2915	88.7827	35.6937	36.7641
ENSG00000008710.20	PKD1	protein_coding	1653	1211	1213	4.2987	1.7282	1.7801
ENSG00000008735.14	MAPK8IP2	protein_coding	1021	533	489	8.4949	3.4152	3.5177
ENSG00000008838.20	MED24	protein_coding	4504	2221	2285	31.1818	12.5362	12.9121
ENSG00000008853.17	RHOBTB2	protein_coding	1737	1461	1410	12.6640	5.0913	5.2440
ENSG00000008869.12	HEATR5B	protein_coding	1984	949	1035	11.6080	4.6668	4.8068
ENSG00000008952.17	SEC62	protein_coding	10978	5527	5453	66.7416	26.8324	27.6371
ENSG00000008988.11	RPS20	protein_coding	49730	25928	23805	354.3134	142.4462	146.7181
ENSG00000009307.16	CSDE1	protein_coding	39451	20012	19441	329.0921	132.3063	136.2742
ENSG00000009335.18	UBE3C	protein_coding	7712	3820	3893	40.3375	16.2171	16.7034
ENSG00000009413.16	REV3L	protein_coding	1654	1022	964	6.4162	2.5795	2.6569
ENSG00000009694.13	TENM1	protein_coding	24	10	14	0.0897	0.0361	0.0371
ENSG00000009709.12	PAX7	protein_coding	62	26	36	0.4617	0.1856	0.1912
ENSG00000009724.17	MASP2	protein_coding	37	43	25	0.4189	0.1684	0.1735
ENSG00000009765.15	IYD	protein_coding	156	74	82	0.7256	0.2917	0.3005
ENSG00000009780.16	FAM76A	protein_coding	977	493	484	11.6387	4.6792	4.8195
ENSG00000009790.15	TRAF3IP3	protein_coding	287	365	350	1.7849	0.7176	0.7391
ENSG00000009830.12	POMT2	protein_coding	1067	526	541	5.1392	2.0661	2.1281
ENSG00000009844.16	VTA1	protein_coding	3516	1730	1788	23.3490	9.3871	9.6686
ENSG00000009950.16	MLXIPL	protein_coding	35	23	13	0.3504	0.1409	0.1451
ENSG00000009954.11	BAZ1B	protein_coding	5351	2681	2671	36.5315	14.6869	15.1274
ENSG00000010017.13	RANBP9	protein_coding	2092	1440	1481	27.8696	11.2045	11.5405
ENSG00000010030.14	ETV7	protein_coding	520	245	276	10.5575	4.2445	4.3718
ENSG00000010072.16	SPRTN	protein_coding	947	511	529	7.7285	3.1071	3.2003
ENSG00000010165.20	EEF1AKNMT	protein_coding	2629	1316	1313	33.0762	13.2978	13.6966
ENSG00000010219.13	DYRK4	protein_coding	419	196	223	2.8630	1.1510	1.1855
ENSG00000010244.19	ZNF207	protein_coding	6606	3294	3312	20.1291	8.0926	8.3353
ENSG00000010256.11	UQCRC1	protein_coding	6500	3182	3321	97.7817	39.3116	40.4906
ENSG00000010270.14	STARD3NL	protein_coding	1927	1000	927	21.4799	8.6357	8.8947
ENSG00000010278.15	CD9	protein_coding	57789	29259	28537	477.8461	192.1106	197.8720
ENSG00000010282.15	HHATL	protein_coding	8	5	3	0.1335	0.0537	0.0553
ENSG00000010292.13	NCAPD2	protein_coding	9319	4847	5030	69.4228	27.9103	28.7474
ENSG00000010295.20	IFFO1	protein_coding	342	172	179	3.3335	1.3402	1.3804
ENSG00000010310.9	GIPR	protein_coding	227	117	111	2.1584	0.8678	0.8938
ENSG00000010318.21	PHF7	protein_coding	171	85	86	2.4501	0.9850	1.0145
ENSG00000010319.7	SEMA3G	protein_coding	454	206	248	4.3357	1.7431	1.7954
ENSG00000010322.16	NISCH	protein_coding	2653	1262	1392	14.1108	5.6730	5.8431
ENSG00000010327.10	STAB1	protein_coding	2504	1565	1518	11.3988	4.5827	4.7201
ENSG00000010361.14	FUZ	protein_coding	836	782	827	13.6452	5.4858	5.6504
ENSG00000010379.16	SLC6A13	protein_coding	17	9	8	0.1931	0.0776	0.0800
ENSG00000010404.18	IDS	protein_coding	343	166	177	1.7788	0.7151	0.7366
ENSG00000010438.17	PRSS3	protein_coding	4	4	1	0.1353	0.0544	0.0560
ENSG00000010539.12	ZNF200	protein_coding	484	268	251	3.1113	1.2508	1.2883
ENSG00000010610.10	CD4	protein_coding	4226	2100	2130	44.6979	17.9701	18.5090
ENSG00000010626.15	LRRC23	protein_coding	3378	1659	1722	53.3472	21.4474	22.0906
ENSG00000010671.16	BTK	protein_coding	580	298	282	6.1105	2.4566	2.5303
ENSG00000010704.18	HFE	protein_coding	516	263	253	4.3825	1.7619	1.8148
ENSG00000010803.16	SCMH1	protein_coding	909	523	534	9.8522	3.9609	4.0797
ENSG00000010810.17	FYN	protein_coding	1391	664	727	9.0466	3.6371	3.7461
ENSG00000010818.10	HIVEP2	protein_coding	3295	1738	1806	14.9052	5.9924	6.1721
ENSG00000010932.17	FMO1	protein_coding	139	79	69	1.8600	0.7478	0.7702
ENSG00000011007.12	ELOA	protein_coding	4031	2382	2407	36.0396	14.4892	14.9237
ENSG00000011009.11	LYPLA2	protein_coding	5093	2528	2567	121.4631	48.8323	50.2968
ENSG00000011021.23	CLCN6	protein_coding	665	320	365	3.9217	1.5767	1.6240
ENSG00000011028.14	MRC2	protein_coding	4711	2652	2599	34.4508	13.8504	14.2658
ENSG00000011052.21	NME1-NME2	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000011083.9	SLC6A7	protein_coding	8	2	11	0.0902	0.0362	0.0373
ENSG00000011105.14	TSPAN9	protein_coding	3596	1862	1736	25.1011	10.0915	10.3942
ENSG00000011114.15	BTBD7	protein_coding	3954	1971	1983	16.8162	6.7607	6.9635
ENSG00000011132.12	APBA3	protein_coding	706	393	390	6.0808	2.4447	2.5180
ENSG00000011143.19	MKS1	protein_coding	1102	606	619	4.7067	1.8923	1.9490
ENSG00000011198.10	ABHD5	protein_coding	1484	743	743	9.4876	3.8143	3.9287
ENSG00000011201.12	ANOS1	protein_coding	1707	877	830	11.6175	4.6707	4.8107
ENSG00000011243.18	AKAP8L	protein_coding	1197	1120	1092	11.3593	4.5668	4.7038
ENSG00000011258.16	MBTD1	protein_coding	780	398	383	5.2332	2.1039	2.1670
ENSG00000011260.14	UTP18	protein_coding	2599	1324	1275	46.3444	18.6320	19.1908
ENSG00000011275.19	RNF216	protein_coding	2744	1351	1394	17.4575	7.0185	7.2290
ENSG00000011295.16	TTC19	protein_coding	1820	959	889	14.4899	5.8254	6.0002
ENSG00000011304.22	PTBP1	protein_coding	18834	9192	9656	120.6991	48.5252	49.9804
ENSG00000011332.19	DPF1	protein_coding	94	56	40	0.9439	0.3795	0.3909
ENSG00000011347.10	SYT7	protein_coding	1561	778	783	9.9627	4.0054	4.1255
ENSG00000011376.12	LARS2	protein_coding	1047	526	524	4.0674	1.6352	1.6843
ENSG00000011405.13	PIK3C2A	protein_coding	3433	1720	1713	17.9777	7.2277	7.4444
ENSG00000011422.12	PLAUR	protein_coding	3496	1790	1707	37.8064	15.1995	15.6553
ENSG00000011426.11	ANLN	protein_coding	3560	1809	1836	28.6123	11.5031	11.8481
ENSG00000011451.21	WIZ	protein_coding	2975	1452	1525	14.2863	5.7436	5.9158
ENSG00000011454.18	RABGAP1	protein_coding	2285	1109	1178	14.3854	5.7834	5.9569
ENSG00000011465.18	DCN	protein_coding	10185	5194	4991	37.9341	15.2508	15.7082
ENSG00000011478.13	QPCTL	protein_coding	561	275	288	9.5715	3.8481	3.9635
ENSG00000011485.15	PPP5C	protein_coding	3238	1825	1795	22.0155	8.8510	9.1164
ENSG00000011523.14	CEP68	protein_coding	2198	1290	1221	12.2859	4.9393	5.0875
